YAGO,Question,Wikidata,MusicBrainz,DBpedia,LinkedMDB,ID
,Give me all Methodist politicians.,"Abel Muzorewa, Afuʻalo Matoto, Alben W. Barkley, Albert Edward Smith, Albert Hawke, Albert Kan-Dapaah, Alfred Brunson, Alfred Catt, Alfred Hicks, Alieu Badara N’Jie, Alvin Olin King, Andrew Hunter, Anthony Forster, Arch A. Moore, Arthur Sherwood Flemming, Augustus Baldwin Longstreet, Baldwin W. Fullmer, Barbara Cegavske, Barzilla W. Clark, Beauford H. Jester, Ben Nelson, Benjamin F. Newhall, Bennie Dee Warner, Bennie Thompson, Betty Sutton, Bill Posey, Bill White, Bob Dole, Bob Ehrlich, Bob Morton, Bob Taft, Boris Trajkovski, Buddy Roemer, C. Anthony Muse, Canaan Banana, Carl Vinson, Cecil H. Underwood, Cedric Glover, Charles Curtis, Charles D. B. King, Charles Grey, Charles Maclay, Charlie Crist, Chester Hardy Aldrich, Chiang Ching-kuo, Chiang Kai-shek, Clement A. Evans, Coke R. Stevenson, Colin Scrimgeour, Coy Pugh, Crawford Vaughan, Daniel Inouye, Daniel L. Marsh, Darius Crouter, Dave Heineman, David Charles Davies, David Lange, David Perdue, David Taylor, David William Davis, Dede Scozzafava, Denis Walker, Dennis Hastert, Dick Cheney, Dirk Kempthorne, Doris Matsui, Doug Moseley, Dutch Ruppersberger, Earl Warren, Ed Whitfield, Edward Lucas, Edward Stephens, Edward Stone Parker, Edward T. Breathitt, Edwin Barclay, Edwin Derrington, Edwin M. Stanton, Edwin Thoms Cox, Egerton Ryerson, Elihu Bailey, Elizabeth Dole, Ellen Johnson Sirleaf, Elwyn Tinklenberg, Emanuel Cleaver, Enoch Mudge, Erastus Otis Haven, Ernest Carr, Ernest Hannaford, Ernest Sommerlad, Fidel V. Ramos, Forbes Burnham, Francis Tait, Frank Bainard Stacey, Frank Bainimarama, Frank R. Gooding, Frank Shields, Fred M. Vinson, Frederick Holder, Frederick Thomas Gray, Gene Green, George Abernethy, George Cholmondeley, 2nd Marquess of Cholmondeley, George McGovern, George McKendree Steele, George Ritchie, George Wallace, George Waterhouse, George Weah, Gilbert De La Matyr, Goh Keng Swee, Graça Machel, Harry Blackmun, Harvey Stower, Heather Wilson, Helen Chupco, Henry Augustus Buchtel, Heo Jeong, Herbert Lyons, Hezekiah C. Tilton, Hillary Clinton, Hiram Sinsabaugh, Horace Cooper Wrinch, Hugh Kelly, J. S. Woodsworth, Jackson Stitt Wilson, James A. Noe, James Browning, James C. Fields, James K. Polk, James Wilson, James Wilson, Jamie Reed, Jan C. Ting, Janet Napolitano, Jay Nixon, Jeff Bingaman, Jeff Miller, Jeff Sessions, Jerry Moran, Jim Gilmore, Jim Kolbe, Joe Barton, Johann Scherk, John Brademas, John Brodhead, John Bull, John Colton, John Connally, John Culberson, John Dunn, John Evans Atta Mills, John Henninger Reagan, John Hogan, John Jackson Sparkman, John Jamison Pearce, John Karefa-Smart, John Kline, John Lavington Bonython, John Mason, John Neely Kennedy, John P. Richmond, John R. Scott, Sr., John Roblin, John Russell, John S. Verran, John Scott Lidgett, John Sherman, John Sparrow David Thompson, John Tower, John Verran, John W. Geary, Johnny Isakson, Jon Elrod, Joseph Arthur Ankrah, Joseph Cook, Joseph E. Irish, Joseph Tait, Julia Grant, Julius C. Zeller, Kasim Reed, Kathleen Richardson, Baroness Richardson of Calow, Kay Granger, Keen Johnson, Kim Seong-su, Larry Craig, Laura Richardson, Lee Hui-ho, Lenny Curry, Leon Atkin, Leonard B. Jordan, Leonard Isitt, Leonel Brizola, Leslie Bourneman Neale, Linda Berglin, Lloyd Doggett, Lorenzo English, Lowen Kruse, Lucy Webb Hayes, Lurleen Brigham Burns Wallace, Margaret Thatcher, Mark Parkinson, Mark Trafton, Maurice Conner, Michael Thomas Sadler, Michelle Obama, Mike Coffman, Mike Rogers, Morgan Noble, Moses Ayrton, Murphy J. Foster, Mvume Dandala, Ndabaningi Sithole, Nehemiah Green, Nelson Mandela, Nelson McCausland, Newton Cloud, Nga Kor Ming, Nikki Haley, Noraldino Junior, Norman Birkett, 1st Baron Birkett, Oramel H. Simpson, Oscar Penn Fitzgerald, Pat Roberts, Pat Spearman, Paul Douglass, Paul Gillmor, Paul O'Neill, Pete Olson, Pete Sessions, Peter Bessell, Peter Cartwright, Pleasant Tackitt, Rex Pearson, Rhee Syng-man, Rich Gordon, Richard Coe Henders, Richard Foster, Richard H. Cain, Richard Hanson, Richard Lugar, Richard M. Burr, Rick Boucher, Rick Larsen, Rick Scott, Robert Bradford, Robert Caldwell, Robert E. Smylie, Robert Harder, Robert Jones Portman, Robert P. Shuler, Robert R. Cupp, Robert Richards, Robert Toombs, Roy H. McVicker, Roy Herron, Russell Marshall, Rutherford B. Hayes, Sam Johnson, Samuel G. Havermale, Samuel Roy McKelvie, Samuel Way, Selwyn Lloyd, Silas C. Swallow, Soong May-ling, Stafford Bird, Stanley A. Johnson, Steve Symms, Susan Tsvangirai, T. V. Soong, Theodore Hack, Thomas Benton Wheeler, Thomas Fletcher, Thomas Greenway, Thomas Holliday Hicks, Thomas Johnson, Thomas Scott, Tim Mahoney, Tom Cole, Tom Cotton, Tomasi Kanailagi, Tupou VI, Ulysses S. Grant, Victor Emanuel Anderson, W. W. Dumas, Walter Q. Gresham, Warren Christopher, Washington Gardner, William A. Pile, William Claflin, William Gannaway Brownlow, William H. Willson, William Harrell Felton, William Irvine, William Ivens, William Knowland, William McKinley, William Rounsevell, William Thompson, William Traylen, William Tubman, William Wallace Johnson, Winnie Madikizela-Mandela, Winthrop Paul Rockefeller, Winthrop Rockefeller, Zell Miller, Zhang Xueliang, Áureo Lídio Moreira Ribeiro",,"A. N. R. Robinson, Alfred Hunt (politician), Arthur Henderson, Barzilla W. Clark, Beverly A. Davis, Bob Barr, Bob Taft, Boris Trajkovski, Campbell C. Hyatt, Canaan Banana, Carte Goodwin, Cat Smith, Charles N. Haskell, Charles S. Chestnut, IV, Charles S. Pendleton, D. W. Davis, Don Samuelson, Edmund Taylor (New Zealand politician), Edwin L. Mechem, Ernest Lundeen, Ernest McFarland, Fielding L. Wright, Frank O'Bannon, Frank R. Gooding, G. Walter Mapp, George E. Allen, Sr., George N. Conrad, George W. Bush, Harry Nice, Henry D. Hatfield, Hugh Mason, J. Frank Sergent, J. Millard Tawes, J. Powell Royall, James B. A. Robertson, James F. Hinkle, John Brodhead (New Hampshire politician), John C. Sanborn, John Cann, John E. Peterson, John Hunt (Australian politician), John Ingram (politician), John Karefa-Smart, John L. Bates, John Marshall Butler, Johnston Murray, Kingsley Rasanayagam, L. M. Shaw, Leon C. Phillips, Leonard B. Jordan, Lewis Charles Levin, Mendel Jackson Davis, Milton Margai, Nathaniel B. Early, Nga Kor Ming, Ngeh Koo Ham, Paul Fannin, Richie Robb, Robert Bradford (Northern Irish politician), Robert E. Smylie, Robert J. Mrazek, Robert L. Williams, Robert O. Crockett, Roy Bennett (politician), Roy J. Turner, Samuel T. Montague, Syngman Rhee, Ted Weill, Thomas Ferens, Thomas Rowe, Tom Bolack, Vincent Massey, W. Willard Wirtz, William A. Pile, William Claflin, William H. Jeffreys, Jr., William H. Murray, William Henry Piddington, William L. Andrews, William L. Hungate, William L. Moore (Virginia politician), William Shepherd Allen, William Traylen, Willis Benson Machen, Willis Smith, Wong Ho Leng",,118
,Give me all islands that belong to Japan.,"Aguni island, Aino Island, Aishima, Ajishima, Aka Island, Akahone Island, Akapanarijima, Akusekijima, Amami Ōshima, Anejima, Anijima, Aogashima, Aoshima, Aoshima, Miyazaki, Arihuku Island, Atadajima, Awaji Island, Awashima Island, Azuchiōshima, Bayonnaise Rocks, Benten-jima, Bentenjima (Hamamatsu), Biro Island, Birō Island, Bōzejima, Category:Oshima (Happo, Akita), Chabanchikipanari, Chiburijima, Chichi-jima, Chikubu Island, Chirin-ga-shima, Daichibanarijima, Daikokujima, Daikon Island, Dairoku Daiba, Denshima, Dino Island, Dōgo, Engetsu Island, Eniyabanare Island, Enoshima, Esanbe Hanakita Kojima, Etajima, Ezo, Fukaji Island, Fukue Island, Fukura-jima, Fukushima, Fumi-shima, Futagami Island, Futaoijima, Gajajima, Ganryū-jima, Genkai Island, Geruma Island, Gesu Island, Gogo Island, Goshourajima, Gushikawa Island, Hachijō-kojima, Haha-jima, Hakatajima, Hamahiga Island, Hariojima, Hashima Island, Hashira Island, Hashirijima, Hate-no-hama, Hateruma Island, Hatoma, Hatopanarijima, Hatsushima, Hegura-jima, Heiguntō, Henza Island, Hiburi Island, Higashi-nōmi-jima, Hikojima, Himakajima, Himeshima, Hino Island, Hira Isaland, Hirabanarijima, Hirado Island, Hiroshima, Hisaka jima, Hitsu Island, Hokkaidō, Honjima, Honshu, Hutagami Island, I Island, Ibukijima, Ichi Island, Ie Island, Ieno Shima, Ieshima, Ieshima, Hyōgo, Iheya Island, Ikara Island, Ike Island, Ikei Island, Ikema Island, Iki Island, Ikinajima, Ikitsuki shima, Ikuchijima, Ikunoshima, Inamba-jima, Innoshima, Inujima, Irabu Island, Iriomote island, Irisuna-jima, Ishigaki Island, Ishima, Island City, Fukuoka, Itsukushima, Iwa Island, Iwagi islet, Iwaishima, Iwashijima, Izena Island, Izushima, Iō Island, Iōjima, Jinai-tō, Jino Island, Ka Island, Kaba Island, Kabajima, Kabe Island, Kabirawankujima Island, Kagura Island, Kakara Island, Kakeromajima, Kakinoura Island, Kakui Island, Kami Island, Kami-shima, Kamiji island, Kamijima, Kamikamagarijima, Kamikoshikijima, Kamishima, Kamome Island, Kanawajima, Kanmuri-jima, Kanyō Island, Kasadojima, Kasasa jima, Kashiko Island, Kashiraga Island, Kashiwa Island, Kayamajima, Kii Ōshima, Kikai Island, Kinkasan, Kiri Island, Kita Kojima Island, Kitadaitō Island, Kitagi Island, Kodakara Island, Kogajajima, Kohama Island, Koitabe Island, Kojima, Kokatsu Island, Koujima, Kouri Island, Kozukumi Island, Kuba Island, Kuchinoerabu Island, Kuchinoshima, Kudaka Island, Kume Island, Kurahashi jima, Kurima Island, Kuro Island, Kuro island, Kuro-shima, Ehime, Kurokamijima, Kuroshima, Kuroshima and Taijima, Kushi Island, Kyushu, Kyūroku-jima, Kōjima, Kōneshima, Kōzu-shima, Lot's Wife, Madara Isaland, Madara Island, Mae Island, Maejima, Maeshima, Mageshima, Maki Island, Manabeshima, Maru Island, Masaki Island, Matsu Island, Megijima, Meshima, Mikimoto Pearl Island, Minami Kojima Island, Minamidaitō Island, Minamitorishima, Minna Island, Minnajima, Mino Shima, Mishima, Mitsukejima, Miyagi Island, Miyagi island, Miyako Island, Miyato Island, Momo Island, Muguchi Island, Mukaishima, Mukojima, Mukō Island, Mukōshima, Muzuki Island, Nagashima, Naka Island, Nakadori Island, Nakajima, Nakakoshiki Island, Nakanokamishima, Nakanoshima, Nakanotorishima, Nakashima, Nao Island, Naru Island, Nasake jima, Nii Ōshima, Ninoshima, Nishi Island, Nishi-nōmi-jima, Nishinoshima Island, Nishitategami Island, Noho Island, Nokono Island, Nomijima, North Iwo To, Notojima, Nozaki Island, Nushima, Nuwa Island, O Island, Odaiba, Ode Island, Odikajima, Ogi Island, Okamura Island, Oki Daitō Island, Okikamuro jima, Okikatsura-shima, Okinawa Island, Okino Island, Okinoerabujima, Okinokita Rock, Okinominamiiwa, Okinoshima, Okushiri Island, Orono Island, Oshima, Oshima Ōshima, Ototojima, Oujima, Port Island, Rebun Island, Rishiri Island, Rokkō Island, Sa Island, Sabusawa Island, Sado Island, Sagano Island, Sagijima, Sago jima, Sakatejima, Sakura Island, Sakushima, Sanagi Islsnd, Sarushima, Sazae Island, Sen Shima, Senaga Island, Sesoko Island, Shamijima, Shikine-jima, Shikoku, Shimada Island, Shimaurato, Shimayama Island, Shimoji Island, Shimoji island, Shimokagarijima, Shimokoshikijima, Shimoshima, Shiomjima, Shiraishi Island, Shishijima, Shoura Island, Shōdo Island, Shōwa Iōjima, Signalny, Smith Island, Sotobanari Island, South Iwo Jima, Suga Island, Sukomobanare Island, Sukumo island, Suo Ōshima, Suzume kita small island, Swanosejima, Syūgen Island, Tadanae Island, Taira Island, Taka Island, Takaikami Island, Takami Island, Takarajima, Takashima, Takeshima, Taketomi Island, Taku Island, Tanegashima, Tanfiliev Island, Tangashima, Tarama island, Tashima, Tashiro-jima, Te Island, Tera Island, Teshima, Teuri Island, To Island, Tobase Island, Tobishima, Tokashiki Island, Toku-no-shima, Tonaki Island, Tora Island, Tori-shima, Torishima, Toshima, Toyoshima, Tsu Island, Tsuken Island, Tsukumi Island, Tsunoshima, Tsuru Shima, Tsushima Island, Tsuwaji Island, Tōshi Island, Ubanarijima, Ubu island, Ucchima, Uchibanari island, Udone-shima, Uguru Island, Uji Island, Ujimukae Island, Ukashima, Ukeshima, Uku island, Uma Shima, Uma shima, Uo Island, Uotsuri-shima, Urugami Island, Ushima, Wakamatsu Island, Watariko Island, Ya Jima, Ya-shima, Yaajii, Yabuchi Island, Yaburoki JIma, Yachiko Jima, Yadoakuba-shima, Yagaji Island, Yaganna Jima, Yagi Shima, Yagijima, Yagishiri Island, Yagyū Jima, Yahazu Jima, Yahazu Shima, Yakabi Island, Yakata Island, Yake Shima, Yakei Jima, Yaki Jima, Yaki-shima, Yakushima, Yama Shima, Yamaanju Shima, Yamanari Jima, Yana Shima, Yanaha Island, Yanaha Jima, Yaneo Jima, Yanoshita Jima, Yashima, Yasuno Shima, Yo Island, Yogose Jima, Yoko Island, Yoko Shima, Yoko-shima, Yokoaji Jima, Yokoate-jima, Yokobe Shima, Yokoshima, Yokoura island, Yomejima, Yonaguni island, Yori Jima, Yoroi Jima, Yoron Island, Yoroshima, Yu-shima, Yubanare Island, Yubu Island, Yuge Island, Yui Kojima, Yukido-shima, Yuno Shima, Yunoko Jima, Yuri-jima, Yururi-tō, Yū Banare, Zaijō Jima, Zamami Island, Zano-shima, Zenisu, Zino island, shinojima island, Ējina Island, Ō Jima, Ō Ne, Ō Shima, Ō-haka-jima, Ō-jima, Ō-shima, Ōbana Jima, Ōbi Shima, Ōbishaku Shima, Ōbokke, Ōbotokejima, Ōesuki Jima, Ōgami Island, Ōgami-jima, Ōge Island, Ōha Island, Ōha Jima, Ōhiki Shima, Ōhshimaa, Ōike Jima, Ōitabe Island, Ōjima, Ōkatsura Shima, Ōko Jima, Ōkujira Jima, Ōkunoshima, Ōkuro Shima, Ōkurokamishima, Ōmaemi Jima, Ōmamae-shima, Ōmijima, Ōminase Jima, Ōminase-jima, Ōmishima, Ōmori Jima, Ōmu Jima, Ōnasami Jima, Ōnezumi Jima, Ōno Shima, Ōnohara Jima, Ōnoyama, Ōnyū Island, Ōra-shima, Ōsakikamijima, Ōsakishimojima, Ōsebanare-jima, Ōshaku Jima, Ōshiba Island, Ōshima, Ōtabu Shima, Ōtachiba Jima, Ōtate Shima, Ōtsuchi Jima, Ōtsufura Shima, Ōtsuku Shima, Ōtsukue Jima, Ōtō Island, Ōwa Jima, Ōyake Jima, Ōyakura Shima, Ōyano Island, Ōyatori Jima, Ōyo Jima, Ōyoko Shima, Ōzo Jima, Ōzu Issland, Ōzukuma Shima, Ōzukumi-jima",,"Ainoshima (Shingū), Aka Island, Akusekijima, Amami Islands, Amami Ōshima, Awaji Island, Bayonnaise Rocks, Benten-jima (Wakkanai), Chichijima, Daikon Island, Daitō Islands, Denshima, Fukaji Island, Gajajima, Genkai Island, Geruma Island, Hachijō-kojima, Hahajima, Hashima Island, Hateruma, Hatsushima, Hokkaido, Honshu, Iejima, Iki Island, Inamba-jima, Iriomote-jima, Ishigaki Island, Iwo Jima, Izena Island, Izu Ōshima, Iōjima (Kagoshima), Jinai-tō, Kamome Island, Kinkasan, Kitadaitōjima, Kogajajima, Kojima (Hokkaido), Kozukumi Island, Kuchinoerabu-jima, Kume Island, Kuroshima (Kagoshima), Kyushu, Lot's Wife (crag), Mageshima, Mainland Japan, Manabeshima, Minami-Tori-shima, Minamidaitōjima, Miyake-jima, Miyako-jima, Nakadori Island, Nakanoshima (Kagoshima), Nii Ōshima, Okamura Island, Oki Islands, Okidaitōjima, Okinawa Island, Okinotorishima, Okushiri Island, Oshima (Hokkaido), Rebun Island, Rishiri Island, Shikoku, Shōwa Iōjima, Smith Island (Japan), Tairajima, Takeshima (Kagoshima), Taketomi Island, Tanegashima, Teuri Island, Tobishima (Yamagata), Tokara Islands, Tokashiki Island, Tori-shima (Izu Islands), Tsuken Island, Tsushima Island, Udone-shima, Volcano Islands, Yaeyama Islands, Yagishiri Island, Yakushima, Yokoate-jima, Yonaguni, Zamami Island, Ōnohara Islands, Ōsumi Islands",,59
"Burgundy, Burgundy wine, California wine, Champagne, Champagne (wine region), Loire Valley, Loire Valley (wine), Muscadet, Palatinate, Palatinate (wine region), Rheinhessen, Rheinhessen (wine region)",From which region is the Melon de Bourgogne?,,,"Loire Valley (wine), Oregon, Southern Ontario, Washington (U.S. state)",,276
,Which books by Kerouac were published by Viking Press?,"Atop an Underwood: Early Stories and Other Writings, Door Wide Open, On the Road, The Dharma Bums",,"Atop an Underwood: Early Stories and Other Writings, Door Wide Open, On the Road",,378
James Horner,Who composed the soundtrack for Cameron's Titanic?,,,James Horner,,259
"Bob Ezrin, Michael Kamen",Who are the writers of the Wall album of Pink Floyd?,Bob Ezrin,,,,299
"Age 233 (Myst), Ages of Riven, Combat (1985 video game), Combat (Exidy game), Combat (arcade game), Exidy games, King Ri'neref, List of Windows games starting with M, MYST, Missed (game), Moiety (Myst), Myst (game), Myst (video game), Myst (videojuego), Myst 1, Myst 2, Myst I, Myst II, Myst II, Myst PSP, Myst comics, Myst organizations, Myst quotes, Myst universe, Myst-clone, Myst: Masterpiece Edition, Myst: Soundtrack, Real Myst, RealMYST (game), RealMyst, Ri'neref, Ri'neref (Myst), Riven, Riven, Riven (Myst), Riven, The Sequel to Myst, Riven, the sequel to Myst, Riven: The Sequel To Myst, Riven: The Sequel to Mist, Riven: The Sequel to Myst, Riven: The Sequel to Myst, Riven: The Sequel to Myst, Tay (Myst), Teeter Torture, Yeesha (Myst)",Give me all video games published by Mean Hamster Software.,,,"Crossbow (video game), Riven",,295
,In which city did Nikos Kazantzakis die?,Heraklion,,Freiburg im Breisgau,,292
,What is in a chocolate chip cookie?,"chocolate chip, flour",,"Baking soda, Brown sugar, Butter, Chocolate chip, Egg (food), Flour, Margarine, Salt, Sugar, Vanilla",,293
,Give me a list of all bandleaders that play trumpet.,"Akio Okamoto, Al Hirt, André Smit, Andy Dickens, Anna Mae Winburn, B. A. Rolfe, Barbara Donald, Barrie Lee Hall, Jr., Benny Carter, Bill Berry, Billie Rogers, Billy Eckstine, Billy May, Bob Astor, Bobby Bryant, Bobby Martin, Bobby Sherwood, Bola Johnson, Boy Edgar, Brian Jones, Buddy Bolden, Bunny Berigan, Burgess Gardner, Calvin Boze, Cat Anderson, Charlie Creath, Charlie Gaines, Charlie Spivak, Chico O'Farrill, Clark Terry, Claude Gordon, Clyde McCoy, Clyde Reasinger, Cootie Williams, Dan Terry, Dave Nelson, David Berger, Dean Hudson, Derrick Gardner, Dewey Jackson, Dizzy Gillespie, Doc Cheatham, Doc Severinsen, Dominick Farinacci, Don Albert, Don Ellis, Ed Nuccilli, Eddie Randle, Eddie Sauter, Edwin Franko Goldman, Ernest ""Doc"" Paulin, Erskine Hawkins, Fejat Sejdić, Freddy Randall, Frederik Köster, Gary Guthman, Gene ""Bowlegs"" Miller, Gerald Wilson, Gracie Cole, Guy Barker, Harry James, Henry Allen Sr., Henry Jerome, Herb Pomeroy, Herb Wiedoeft, Herbie Kay, Herbie Phillips, Humphrey Lyttelton, Ian Hamer, Irvin Mayfield, Ivan Jullien, Jack Walrath, Jake Porter, Jan Pavlis, Jeff Tyzik, Jerry van Rooyen, Jim Knapp, Jimmy Deuchar, Jimmy Wade, Joe Cabot, Joe Morris, John Bayley, John Hubbard Beecher, Johnnie Davis, Johnny Dunn, Jordan McLean, Julio Cueva, Ken Colyer, Ken Hanna, Kenny Baker, Kenny Ball, Kid Thomas Valentine, King Oliver, Klaas van Beeck, Klaus Lenz, Larry Clinton, Lee Castle, Leif Uvemark, Les Elgart, Lester Bowie, Lew Soloff, Lloyd Hunter, Louis Armstrong, Louis Prima, Jr., Lu Watters, Manuel Perez, Marlon Jordan, Matthias Schriefl, Maurice McAdow, Max Kaminsky, Mercer Ellington, Michael Mantler, Mick Collins, Mick Mulligan, Mike Cotton, Mike Vax, Miles Davis, Milt Larkin, Nat Gonella, Nicholas Payton, Nick LaRocca, Norman Mason, Oliver Todd, Ollie Mitchell, Ovie Alston, Papa Celestin, Paul Brody, Paul Mares, Peter Packay, Phil Collins, Phil Napoleon, Philipp Rellstab, Quincy Jones, Randy Brooks, Ray Anthony, Ray Brown, Ray Davies, Red Nichols, Red Perkins, Reuben Reeves, Richard Maltby, Richard Rousselet, Robert De Kers, Roger Thorpe, Roy Etzel, Rudy Salvini, Sam Donahue, Sam Morgan, Sean Jones, Sharkey Bonano, Singleton Palmer, Sonny Dunham, Steve Waterman, Sy Oliver, Teddy Riley, Terrence Holder, Thad Jones, Theo Croker, Theodore Carpenter, Tommy Dorsey, Tommy Sampson, Tony Pabón, Vaughn Monroe, Vic Schoen, Walter Jenson, Wayne Bergeron, Wayne Naus, Wendell Brunious, Werner Deinert, Wilfrido Vargas, William Franklin Lee III, Willie Mitchell, Ziggy Elman",,"Abatte Barihun, Adam Taubitz, Alan Silva, Artie Fields, Billie Rogers, Bobby Hackett, Brad Turner (musician), Charlie Spivak, Cleveland Eaton, Clifford Thornton, Danny Davis (country musician), Doc Cheatham, Doc Severinsen, Don Albert, Ernest ""Doc"" Paulin, Erskine Hawkins, Gerald Wilson, Gerard Presencer, Guy Barker, Henry Jerome, Hot Lips Page, Jack Jackson (British radio), Jacobo Rubalcaba, Jimmy Dorsey, Jimmy Vivino, Joe Wilder, Lloyd Hunter, Louis Prima, Mark Masters (musician), Marlon Jordan, Maynard Ferguson, Neil Yates, Ollie Mitchell, Orbert Davis, Ovie Alston, Pacho Galan, Papa Celestin, Pete Brown (jazz musician), Red Perkins, Richard Maltby, Sr., Sean Jones (trumpeter), Terumasa Hino, Theodore Carpenter, Wayne Bergeron, Willie Mitchell (musician), Wingy Manone",,164
,What is the highest mountain in Saxony Germany?,Stangenhöhe,,Fichtelberg,,201
,Which ingredients do I need for carrot cake?,"carrot, flour",,"Almonds, Baking powder, Carrots, Egg (food), Flour, Sugar",,199
,Where is the birthplace of Goethe?,Frankfurt am Main,,"Frankfurt, Frankfurt-am-Main, Holy Roman Empire",,197
"Ancus, Ancus Marcius, Lijst van Romeinse staatshoofden, Lucius Tarquinius Priscus, Lucius Tarquinius Superbus, Numa Pompilius, Remoria, Romulus, Servius Tullius, Tanaquil, Tarquin, Titus Tatius, Tullus, Tullus Hostilius",List the seven kings of Rome.,,,"Ancus Marcius, Lucius Tarquinius Priscus, Lucius Tarquinius Superbus, Numa Pompilius, Romulus and Remus, Servius Tullius, Tullus Hostilius",,178
,Who discovered Ceres?,Giuseppe Piazzi,,Giuseppe Piazzi,,191
"Jp2, Pope John Paul II, Pope Paul",Who was the pope that founded the Vatican Television?,,,Pope John Paul II,,190
,In which U.S. state is Mount McKinley located?,Denali Borough,,Alaska,,115
,Which programming languages were influenced by Perl?,"BeanShell, Falcon, Groovy, JavaScript, PHP, PIKT, Pascal Script, Perl 6, Perl Data Language, PowerShell, Python, Qore, Ruby, Sleep",,"BeanShell, CoffeeScript, ECMAScript, Falcon (programming language), Groovy (programming language), JavaScript, Judoscript, Julia (programming language), LPC (programming language), MIVA Script, P*, PHP, Perl 6, Perl Data Language, PowerShell, Python (programming language), Qore (programming language), Ruby (programming language)",,114
,Who wrote the Game of Thrones theme?,Ramin Djawadi,,Ramin Djawadi,,397
,Give me all libraries established earlier than 1400.,"Biblioteca de Montserrat, Jagiellonian Library, Schaffhausen City Library",,"Almeida Garrett Library, Austrian National Library, Cambridge University Library, Heidelberg University Library, Library of Alexandria, Library of Ashurbanipal, Library of Pergamum, Maughan Library, Merton College Library, Mother Irene Gill Memorial Library, Nanpura Parsi Library, National and University Library of the Republika Srpska",,113
,Which actor played Chewbacca?,"Joonas Suotamo, Peter Mayhew",,"Joonas Suotamo, Peter Mayhew",,112
,Show me all the breweries in Australia.,"Billson's Brewery, Burleigh Brewing Company, Coopers Brewery, Emu Brewery, Foster's Group Limited, Pirie Street Brewery, Victoria Brewery building, Yorkshire Brewery building",,"Cascade Brewery, Copper Coast Wines, Matilda Bay Brewing Company",,181
,Which beer originated in Ireland?,Guinness,,Guinness,,80
,Who played Gus Fring in Breaking Bad?,Giancarlo Esposito,,Giancarlo Esposito,,204
,What is the longest river in the world?,Amazon,,Irtysh River,,251
,In which ancient empire could you pay with cocoa beans?,"Aztecs, Tabasco",,Aztec Empire,,257
,Where did Abraham Lincoln die?,Petersen House,,"Petersen House (Washington, D.C.), Washington, D.C.",,7
,In which programming language is GIMP written?,C,,GIMP,,247
,In which city does the Chile Route 68 end?,"Santiago Metropolitan Region, Valparaíso",,Valparaíso,,366
,What is the largest city in Australia?,Brisbane,,Sydney,,301
"Control, Control (novel), Marathon Man, Marathon Man (novel), The Color of Light, Tinsel, Tinsel (novel), Wait Till Next Year, Which Lie Did I Tell?",Give me all books by William Goldman with more than 300 pages.,,,"Boys and Girls Together, Brothers (Goldman novel), Control (novel), Hype and Glory, Marathon Man (novel), The Color of Light, The Princess Bride, Tinsel (novel), Wait Till Next Year, Which Lie Did I Tell?",,371
,Give me all books written by Danielle Steel.,"A Good Woman, A Good Woman, A Perfect Stranger, Accident, Against All Odds, Amazing Grace, Amazing Grace, Betrayal, Betrayal, Big Girl, Big Girl, Bungalow 2, Coming Out, Coming Out, Crossings, Daddy, Daddy, Dangerous Games, Dating Game, Echoes, Family Album, Family Album, Family Ties, Fine Things, Five Days in Paris, Five Days in Paris, Friends Forever, Full Circle, Going Home, H.R.H., H.R.H., Honor Thyself, Honor Thyself, Hotel Vendome, Hotel Vendome, Impossible, Impossible, Jewels, Kaleidoscope, Legacy, Loving, Matters of the Heart, Matters of the Heart, Message from Nam, Miracle, Mirror Image, Mixed Blessings, No Greater Love, No Greater Love, Now and Forever, One Day at a Time, One Day at a Time, Palomino, Passion's Promise, Ransom, Rogue, Rogue, Safe Harbour, Season of Passion, Second Chance, Second Chance, Secrets, Silent Honor, Silent Honor, Sisters, Sisters, Southern Lights, Southern Lights, Special Delivery, Special Delivery, Sunset in St. Tropez, The Cast, The Gift, The House, The House, The Klone and I, The Long Road Home, The Long Road Home, The Promise, The Wedding, Thurston House, Toxic Bachelors, Toxic Bachelors, Undercover, Vanished, Wanderlust, Wanderlust, Zoya",,"A Good Woman (novel), A Perfect Stranger, Accident (novel), Amazing Grace (novel), Betrayal (Steel novel), Big Girl (novel), Bungalow 2, Coming Out (novel), Crossings (Steel novel), Daddy (novel), Echoes (Steel novel), Family Album (novel), Family Ties (novel), Fine Things, Five Days in Paris, Friends Forever (novel), Full Circle (novel), H.R.H. (novel), Honor Thyself, Hotel Vendome (novel), Impossible (novel), Jewels (novel), Kaleidoscope (novel), Matters of the Heart (novel), Message from Nam, Miracle (novel), Mixed Blessings (novel), No Greater Love (novel), Now and Forever (novel), One Day at a Time (novel), Passion's Promise, Ransom (Steel novel), Rogue (novel), Safe Harbour (novel), Season of Passion, Second Chance (Steel novel), Silent Honor, Sisters (Steel novel), Southern Lights (novel), Special Delivery (novel), Sunset in St. Tropez, The Gift (Steel novel), The House (novel), Thurston House (novel), Toxic Bachelors, Wanderlust (Steel novel), Zoya (novel)",,109
,In which countries do people speak Japanese?,Japan,,"Allied Military Government for Occupied Territories, Brazilians, Japan, Japanese people, Palau",,406
